no.,s(0),s(1),s(2),,method,all
1,20.42344581,19.34364648,19.3791456,,0,20.42344581
2,20.16201241,19.51977572,19.3210407,,0,20.16201241
3,20.11161858,19.48022732,19.24901143,,0,20.11161858
4,20.18019197,19.44534798,19.22338091,,0,20.18019197
5,20.10663474,19.36601037,19.39996887,,0,20.10663474
6,20.27459268,19.44570003,19.31693605,,0,20.27459268
7,20.10238834,19.45304738,19.17846454,,0,20.10238834
8,20.42050903,19.44014161,19.1952459,,0,20.42050903
9,20.33365803,19.51653897,19.3628012,,0,20.33365803
10,20.22247539,19.28094181,19.23481624,,0,20.22247539
11,20.40509209,19.37574068,19.22427495,,0,20.40509209
12,20.09455335,19.43130063,19.41620431,,0,20.09455335
13,20.2581738,19.51113515,19.40931756,,0,20.2581738
14,20.33954211,19.32552909,19.41110714,,0,20.33954211
15,20.11375482,19.33296738,19.45470563,,0,20.11375482
16,20.21041245,19.42939056,19.4646277,,0,20.21041245
17,20.52610258,19.34385259,19.45547495,,0,20.52610258
18,20.29503314,19.34702416,19.32971832,,0,20.29503314
19,19.99402019,19.27735866,19.25532297,,0,19.99402019
20,20.28207116,19.3034847,19.36601636,,0,20.28207116
21,20.27827128,19.30945543,19.41987524,,0,20.27827128
22,20.1183921,19.46291652,19.45077317,,0,20.1183921
23,20.17500393,19.33331603,19.35043263,,0,20.17500393
24,20.16423237,19.35371674,19.21456132,,0,20.16423237
25,20.23037887,19.37885255,19.43134321,,0,20.23037887
26,20.36839478,19.29016118,19.33877364,,0,20.36839478
27,20.47435289,19.35329557,19.32000972,,0,20.47435289
28,20.3775573,19.27814808,19.07252022,,0,20.3775573
29,20.54633121,19.5525399,19.42246112,,0,20.54633121
30,20.54021328,19.32663433,19.2267539,,0,20.54021328
31,20.36198265,19.29812735,19.41640226,,0,20.36198265
32,20.67049694,19.51484012,19.17081778,,0,20.67049694
33,20.59000181,19.27493027,19.22683386,,0,20.59000181
34,20.37854904,19.50182315,19.19202476,,0,20.37854904
35,20.2267895,19.42125883,19.17398916,,0,20.2267895
36,20.30879908,19.49955609,19.20291872,,0,20.30879908
37,20.63347798,19.33739723,19.32258383,,0,20.63347798
38,20.24495131,19.29350616,19.22478701,,0,20.24495131
39,20.32615034,19.2507332,19.4456156,,0,20.32615034
40,20.36735814,19.40000189,19.21803246,,0,20.36735814
41,20.52270373,19.47553343,19.16587797,,0,20.52270373
42,20.29271514,19.60133784,19.32614354,,0,20.29271514
43,20.46793947,19.49214291,19.42530299,,0,20.46793947
44,20.26418659,19.49384434,19.29308068,,0,20.26418659
45,20.19577156,19.29934593,19.08873939,,0,20.19577156
46,20.19790392,19.30616179,19.37538342,,0,20.19790392
47,20.28741272,19.27051306,19.19951381,,0,20.28741272
48,20.38290084,19.42615364,19.18721624,,0,20.38290084
49,20.14978356,19.32760389,19.21426146,,0,20.14978356
50,19.79764521,19.29829203,19.11896542,,0,19.79764521
51,20.34383392,19.40360681,19.24252639,,0,20.34383392
52,20.22369047,19.42820161,19.43367571,,0,20.22369047
53,20.03916809,19.44483576,19.13595407,,0,20.03916809
54,20.12236088,19.6129463,19.50311832,,0,20.12236088
55,20.27416317,19.43058177,19.41693594,,0,20.27416317
56,20.31231748,19.4629031,19.26321927,,0,20.31231748
57,20.08392643,19.42975408,19.45232819,,0,20.08392643
58,20.33784505,19.4367519,19.28086946,,0,20.33784505
59,20.18534872,19.35420443,19.4733474,,0,20.18534872
60,19.93523941,19.49664956,19.36097392,,0,19.93523941
,,,,,1,19.34364648
,,,,,1,19.51977572
,,,,,1,19.48022732
,,,,,1,19.44534798
,,,,,1,19.36601037
,,,,,1,19.44570003
,,,,,1,19.45304738
,,,,,1,19.44014161
,,,,,1,19.51653897
,,,,,1,19.28094181
,,,,,1,19.37574068
,,,,,1,19.43130063
,,,,,1,19.51113515
,,,,,1,19.32552909
,,,,,1,19.33296738
,,,,,1,19.42939056
,,,,,1,19.34385259
,,,,,1,19.34702416
,,,,,1,19.27735866
,,,,,1,19.3034847
,,,,,1,19.30945543
,,,,,1,19.46291652
,,,,,1,19.33331603
,,,,,1,19.35371674
,,,,,1,19.37885255
,,,,,1,19.29016118
,,,,,1,19.35329557
,,,,,1,19.27814808
,,,,,1,19.5525399
,,,,,1,19.32663433
,,,,,1,19.29812735
,,,,,1,19.51484012
,,,,,1,19.27493027
,,,,,1,19.50182315
,,,,,1,19.42125883
,,,,,1,19.49955609
,,,,,1,19.33739723
,,,,,1,19.29350616
,,,,,1,19.2507332
,,,,,1,19.40000189
,,,,,1,19.47553343
,,,,,1,19.60133784
,,,,,1,19.49214291
,,,,,1,19.49384434
,,,,,1,19.29934593
,,,,,1,19.30616179
,,,,,1,19.27051306
,,,,,1,19.42615364
,,,,,1,19.32760389
,,,,,1,19.29829203
,,,,,1,19.40360681
,,,,,1,19.42820161
,,,,,1,19.44483576
,,,,,1,19.6129463
,,,,,1,19.43058177
,,,,,1,19.4629031
,,,,,1,19.42975408
,,,,,1,19.4367519
,,,,,1,19.35420443
,,,,,1,19.49664956
,,,,,2,19.3791456
,,,,,2,19.3210407
,,,,,2,19.24901143
,,,,,2,19.22338091
,,,,,2,19.39996887
,,,,,2,19.31693605
,,,,,2,19.17846454
,,,,,2,19.1952459
,,,,,2,19.3628012
,,,,,2,19.23481624
,,,,,2,19.22427495
,,,,,2,19.41620431
,,,,,2,19.40931756
,,,,,2,19.41110714
,,,,,2,19.45470563
,,,,,2,19.4646277
,,,,,2,19.45547495
,,,,,2,19.32971832
,,,,,2,19.25532297
,,,,,2,19.36601636
,,,,,2,19.41987524
,,,,,2,19.45077317
,,,,,2,19.35043263
,,,,,2,19.21456132
,,,,,2,19.43134321
,,,,,2,19.33877364
,,,,,2,19.32000972
,,,,,2,19.07252022
,,,,,2,19.42246112
,,,,,2,19.2267539
,,,,,2,19.41640226
,,,,,2,19.17081778
,,,,,2,19.22683386
,,,,,2,19.19202476
,,,,,2,19.17398916
,,,,,2,19.20291872
,,,,,2,19.32258383
,,,,,2,19.22478701
,,,,,2,19.4456156
,,,,,2,19.21803246
,,,,,2,19.16587797
,,,,,2,19.32614354
,,,,,2,19.42530299
,,,,,2,19.29308068
,,,,,2,19.08873939
,,,,,2,19.37538342
,,,,,2,19.19951381
,,,,,2,19.18721624
,,,,,2,19.21426146
,,,,,2,19.11896542
,,,,,2,19.24252639
,,,,,2,19.43367571
,,,,,2,19.13595407
,,,,,2,19.50311832
,,,,,2,19.41693594
,,,,,2,19.26321927
,,,,,2,19.45232819
,,,,,2,19.28086946
,,,,,2,19.4733474
,,,,,2,19.36097392